report_slug,report_name,layer,frequency,priority,source_owner,primary_source_url,acquisition_mode,automation_status,notes
personal_income_outlays,Personal Income and Outlays,income_and_spending,monthly,1,BEA,https://www.bea.gov/data/income-saving/personal-income,api,ready,"Core backbone report; includes income, DPI, PCE, savings, PCE prices"
pce_price_index,PCE Price Index,inflation,monthly,1,BEA,https://www.bea.gov/data/income-saving/personal-income,api,ready,"Use with income/outlays release"
retail_sales,Retail Sales,spending,monthly,1,Census,https://www.census.gov/retail/sales.html,api,ready,"High-frequency goods spending; nominal, not real"
cpi,Consumer Price Index,inflation,monthly,1,BLS,https://www.bls.gov/bls/api_features.htm,api,ready,"Track headline, core, shelter, services"
jobs_report,Employment Situation,labor,monthly,1,BLS,https://www.bls.gov/bls/api_features.htm,api,ready,"Payrolls, unemployment, wages"
average_hourly_earnings,Average Hourly Earnings,labor,monthly,1,BLS,https://www.bls.gov/bls/api_features.htm,api,ready,"Use to compute real wage growth"
initial_jobless_claims,Initial Jobless Claims,labor,weekly,1,DOL,https://www.dol.gov/node/72199,official_page_or_table,semi_ready,"Likely scrape official weekly release or parse attached tables"
consumer_credit_g19,Consumer Credit G.19,credit,monthly,1,Federal Reserve Board,https://www.federalreserve.gov/releases/g19/about.htm,csv_download,ready,"Track total, revolving, nonrevolving"
household_debt_credit,Household Debt and Credit,stress,quarterly,1,New York Fed,https://www.newyorkfed.org/microeconomics/hhdc,downloadable_data,ready,"Balances and delinquency metrics"
financial_accounts_z1,Financial Accounts Z.1,wealth_and_balance_sheet,quarterly,1,Federal Reserve Board,https://www.federalreserve.gov/releases/z1/,csv_download,ready,"Household net worth and liabilities"
distributional_financial_accounts,Distributional Financial Accounts,distribution,quarterly,2,Federal Reserve Board,https://www.federalreserve.gov/releases/efa/efa-distributional-financial-accounts.htm,csv_download,ready,"Who holds wealth by percentile/income/race/age"
jolts,JOLTS,labor,monthly,2,BLS,https://www.bls.gov/bls/api_features.htm,api,ready,"Job openings and quits rate"
new_home_sales,New Home Sales,housing,monthly,2,Census,https://www.census.gov/construction/nrs/,api,ready,"Forward-looking housing demand"
housing_starts_permits,Housing Starts and Building Permits,housing,monthly,2,Census,https://www.census.gov/data/developers/data-sets/economic-indicators.html,api,ready,"Construction cycle and supply"
michigan_sentiment,University of Michigan Consumer Sentiment,psychology,monthly,2,University of Michigan,https://www.sca.isr.umich.edu/,public_site_with_usage_limits,semi_ready,"Public data available with timing and usage caveats; confirm allowed automation workflow"
michigan_inflation_expectations,University of Michigan Inflation Expectations,psychology,monthly,2,University of Michigan,https://data.sca.isr.umich.edu/faq.php,public_site_with_usage_limits,semi_ready,"Important but subject to data-site timing and copyright terms"
conference_board_confidence,Conference Board Consumer Confidence,psychology,monthly,3,Conference Board,https://www.conference-board.org/topics/consumer-confidence/index.cfm,press_release_or_license,manual_or_licensed,"Useful, but usage and redistribution are restricted"
existing_home_sales,Existing Home Sales,housing,monthly,3,NAR,https://www.nar.realtor/research-and-statistics/housing-statistics/existing-home-sales,manual_or_license,manual_or_licensed,"Non-government source; likely manual ingestion unless licensed"
real_disposable_personal_income,Real Disposable Personal Income,derived,monthly,1,Derived,https://www.bea.gov/data/income-saving/personal-income,derived,compute_in_pipeline,"Should be computed after ingestion"
savings_rate,Savings Rate,derived,monthly,1,Derived,https://www.bea.gov/data/income-saving/personal-income,derived,compute_in_pipeline,"Directly available within BEA release"
real_wage_growth,Real Wage Growth,derived,monthly,1,Derived,https://www.bls.gov/bls/api_features.htm,derived,compute_in_pipeline,"Average hourly earnings minus inflation"
consumer_regime,Consumer Regime Classification,derived,monthly,1,Derived,,derived,compute_in_pipeline,"Dashboard output summarizing expansion, slowing, stressed, or recessionary consumer"
